Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
"Linton's sparkling gems : a new collection of hymns and tunes for Sunday schools, prayer meetings, and the social circle","Linton, G. W.","Louisville, KY; Cincinnati, OH",R. W. Carroll & Co.; Tripp & Linton,,,1871,,,,150,13,16,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,SBTS,SBTS,,,Y,,
Little light no. 2 : for little folks,"Tillman, Charlie D.","Atlanta, GA",Charlie D. Tillman,,,1897,Y,,,63,20,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
"Living water songs no. 2, suitable for all kinds of religious services","Benson, John T.; Benson, Dora","Nashville, TN",Pentecostal Mission Pub. Co.,,,1906,Y,,,unpaged,20,,Pentecostal,Round,English,Sacred,Y,,,,,,,,,,Y,,Y,,,,,,,,Y,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Lob Gottes : ein Notenbuch für Sonntag-Schule, Kirche und Haus","Ahrens, J. B. A.","Nashville, TN",Buch-Concern de Südl. Bischöfl. Methodistenkirche,,,18??,Y,,,182,15,17,"Methodist (MEC,S)",Round,German,Sacred,Y?,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Princeton Theological Seminary,OCLC,,,,,
Lobe den Herrn! : eine Liedersammlung für die Sonntagschul- und Jugendwelt,"Munz, Friedrich","Cincinnati, OH",Jennings and Graham,,,1905,,,,264,21,,,Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,"Emory; Methodist Theological School; The Styberg Library; Lutheran Theological Seminary; Duke University; Luther College; University of Minnesota, Minneapolis",Emory,Y,,,,
Lofzangen en geestelijke liederen,"De Pree, Peter; Adrian Kriegard; Henry Uiterwijk","Cincinnati, OH",C. J. Krehbiel,Printed by Aldine Printing Works,,1885,,,,250,22,,,Round,Dutch,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Love's banner,"Clark, F. A.","Philadelphia, PA",Hall-Mack Co.,,,1914,,,,15,22,,,Round,English,Sacred,Y,,,,,,,,,,Y,,,Y,,,Y,,,Y,,,,,,,Y,,Library of Congress,OCLC,,,,,A service for children's day
"Loving voices : for Sunday-school, church, and home circle","Staples, R. G.","St. Louis, MO",Christian Pub. Co.,,,1887,Y,,,190,13,18,Restorationist,Round,English,Sacred,Y,,,,,,Y?,,,,,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
Lutherische Lieder,"Doescher, J. F.","St. Louis, MO","Druckerci der Synode von Missouri, Ohio u.a. Staaten",,,1878,,,,31,18,,Lutheran (Missouri Synod),Round,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lutheran College,OCLC,,,,,
Mass in honor of Lourdes : written in ecclesiastical style,"Sorin, R. J.","Baltimore, MD",P. J. Lammers,,,1904,,,,22,27,,CAtholic (Roman),Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y?,,,Y,,,,University of Maryland,OCLC,,,,,
Mehrstimmiges Choralbuch : zu dem Kirchengesangbuch für Evangelisch-Lutherische Gemeinden (Ungeänderter Augsburgischer Confession),"Brauer, Karl","St. Louis, MO",Concordia Publishing House,,,1906,,,Preface dated 1888,192,20,28,Lutheran (Missouri Synod),Round,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Methodist hymnal, The : official hymnal of the Methodist Episcopal Church and the Methodist Episcopal Church, South",?,"Nashville, TN?; New York, NY",Methodist Book Concern,,,1905,,,,"564, 105",22,,Methodist,Round,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,Emory; MTSU?,Emory,Y,Y,,,The variant title may well be a cataloging error
"Methodist hymnal, The : official hymnal of the Methodist Episcopal Church, South, and the Methodist Episcopal Church",?,"Nashville, TN; Dallas, TX; Richmond, VA","Pub. House of the Methodist Episcopal Church, South",,,1905,,,,602,23,,Methodist,Round,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,UK; SBTS; Emory,UK,Y,,Y,Y,
"Methodist Protestant church hymnal, The : containing also the ritual and selections from Scripture for responsive reading",?,"Baltimore, MD",Board of Publication of the Methodist Protestant Church,,,1902,,,,443,22,,Methodist (Protestant),Round,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Methodist Protestant church hymnal, The : containing also the ritual and selections from Scripture for responsive reading",?,"Baltimore, MD",Board of Publication of the Methodist Protestant Church,,,1909,,,,443,22,,Methodist (Protestant),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Emory has two non-identical copies
Missionary songs : dedicated to the woman's missionary societies,"Mewbourn, Eulalia","Athens, GA",B. Vaughan,,,18??,Y,,,76,21,,,Round,English,Sacred,Y?,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,Emory,Emory,Y,,,,
More mellows,"Kennedy, R. Emmet","LA; New York, NY","Dodd, Mead & Co.",,,1931,,,,178,26,,,Round,English,Mixed,,Y,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,"Mount Holyoke College; New York Public Library; Newark Public Library; University at Albany; Westminster Choir College of Rider University; Princeton University Library; Harvard College Library; Holy Family University; University of Pennsylvania; UNH Durham; University of Delaware; Towson University; Peabody Conservatory; University of Rochester; Buffalo and Erie County Public Library; Hampton University; Norfolk Public Library; Carnegie Library of Pittsburgh; Allegheny College; West Virginia University; Sweet Briar College; Cleveland Public Library; Oberlin College; Duke University; University of North Carolina at Chapel Hill; University of North Carolina at Greensboro; Ohio Wesleyan University; Columbus Metropolitan Library; Ohio State University; University of Michigan; Antioch College; Central Michigan University; Knox County Public Library System; Indianapolis Public Library; Indiana University; Gary Public Library; University of Illinois at Urbana Champaign; Emory University; Atlanta University Center; Nashville Public Library; Tennessee State Library and Archives; Jacksonville Public Library; University of Missouri-St. Louis; Florida State University; Memorial University Newfoundland; University of Mississippi; University of Northern Iowa; Kansas City Public Library; Louisiana State University; Nicholls State University; Northwestern State University of Louisiana; Tulane University; University of Nebraska-Lincoln; McNeese State University; Wichita State University; Dallas Public Library; Texas Woman's University Library; Harry Ransom Humanities Research Center, University of Texas at Austin; University of Colorado Boulder; University of Northern Colorado; Texas A&M University-Kingsville; University of Saskatchewan; Utah State University; Multnomah County Library; University of California, San Diego; California State Library; Los Angeles Public Library; University of California Los Angeles, University of California, Davis; University of Oregon; San Francisco Public Library; Stanford University; UC Berkeley; Columbia University; Fenimore Art Museum; Mount Allison University; Indiana State University; Cape Girardeau Public Library; Hillsborough County Public Library Cooperative; Rollins College; University of Minnesota-Minneapolis; Broward County Libraries",Title search,Y,,,,
"Morning star, The : a collection of new sacred songs for the Sunday school, prayer meeting, and the social circle","Shaw, Knowles","Cincinnati, OH; St. Louis, MO",Chase & Hall,,,1878,,,,128,20,,Restorationist?,Round,English,Sacred,Y,,,,,,Y?,,Y,,,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
"Mrs. Jeannette Robinson Murphy, folk lorist : African slave songs and folk lore","Murphy, Jeannette Robinson","Boston, MA",George W. Britt,,,190?,Y,,,10,26,,,Round,English,Sacred,Y,,,,,,,,,,Y,,,,,,Y,Y?,,,,,,,,Y,,,Temple University; Brown University,OCLC,,,,,Lecture program? Includes one spiritual
"Music and official program, National Baptist Convention, Philadelphia, September 1803 [sic]","Rosborough, William","Philadelphia, PA; Nashville, TN?",National Baptist Pub. Board?,,,1903,Y,,,64,22,,Baptist (NBC),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,Emory,Emory,Y,,,,
"Music for the Seventh International and Second World's Sunday School Conventions at the Exposition Music Hall, St. Louis, Aug. 30, 31, Sept. 1 to 6, 1893","Lindsay, Lewis F.","St. Louis, MO?",Burnham,,,1893,Y,,,48,22,,Interdenominational,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,Emory,Emory,Y,,,,
"Musical leaves for sabbath schools : composed of Musical leaves nos. 1, 2, 3, and 4, with an addition of one hundred popular hymns","Phillips, Philip","Cincinnati, OH",Philip Phillips,,,1867,,,"Newly revised ed., enlarged",104,23,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,SBTS; Emory,SBTS,Y,,Y,,
Musical visitor,"Vaughan, James D.","Lawrenceburg, TN",James D. Vaughan,,,1912-1919,,,,vols.,?,,,Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"National Baptist hymnal, The : arranged for use in churches, Sunday schools and young people's societies","Boyd, R. H.; Rosborough, William","Nashville, TN",National Baptist Pub. Board,,,1903,Y,,"8th ed., revised",449,22,,Baptist (NBC),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,Emory,Emory,Y,,,,
National gospel voices,"Dortch, D. E.","Nashville, TN",National Baptist Pub. Board,,,1895,,,Round note ed.,120  nos.,21,,Baptist (NBC),Round,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,,,Emory; Southwestern Baptist Theological Seminary; Moody Bible Institute Library,Emory,Y,,,,"Variant title: ""Our own song book"""
"National jubilee melody song book : in memory of the late Richard Henry Boyd, D.D., LL.D.",?,"Nashville, TN",National Baptist Pub. Board,,,1923,Y,,Memorial ed.,155,23,,Baptist (NBC),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,Y,,,Emory,Emory,Y,,,,
Navy song book : issued by the Navy Department Commission on Training Camp Activities and compiled with the assistance of the National Committee on Army and Navy Camp Music,?,"Washington, DC; Athens, KY",Navy Department Commission on Training Camp Activities,,,1919,Y,,,98,10,13,,Round,English,Mixed,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,UK; MTSU?,UK,,Y,,Y,UK copy provenance: John Jacob Niles
"New casket, The : containing sparkling gems gathered from the works of Handel, Haydn, Mozart, Beethoven, Rossini and other great masters : also choice selections from eminent American composers","Robinson, G. O.","Columbia, SC",Duffie & Chapman,,,1877,,,,352,17,27,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,MTSU,MTSU (OPAC),,Y,,,
"New casket, The : containing sparkling gems gathered from the works of Handel, Haydn, Mozart, Beethoven, Rossini and other great masters : also choice selections from eminent American composers ...","Robinson, G. O.","Columbia, SC",Duffie & Chapman,,,1880,,,,352,17,27,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,Emory,Emory,Y,,,,
"New Christian hymn book, The : a collection of hymns and tunes for use in Christian worship","Larimore, T. B.; Kirkpatrick, W. J.","Nashville, TN",?,McQuiddy Printing Co.,,1907,,,(Round note ed.),256,21,,Restorationist,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"New gospel hymns : for revival meetings, Bible schools, prayer meetings, young people's meetings and other services","Harris, Thoro; Currie, John M.; Jenks, Orrin Roe","Chicago, IL",Meyer & Brother,,,1908,Y,,,128,20,,Adventist (ACGC),Round,English,Sacred,Y,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,,,,,Ohio State University; Pittsburgh Theological Seminary; Wheaton College; Aurora University; Gordon-Conwell Theological Seminary,OCLC,,,,,
"New gospel song book, The : a rare collection of songs designed for Christian work and worship","Showalter, G. H. P.; Taylor, Austin","Austin, TX",Firm Foundation Pub. Co.,,,1914,,,,220,20,,Church of Christ,Round,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,UK; Emory,UK,Y,,,Y,
New hymn and tune book for the use of the African M.E. Zion Church,?,"Charlotte, NC",A.M.E. Zion Book Concern,,,1909,Y,,,505,18,,Methodist (AMEZ),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,
"New hymn and tune book, The : a collection of hymns and tunes for public, social, and domestic worship","McIntosh, R. M.?","Nashville, TN",Southern Methodist Publishing House,,,1880,,,,192,19,,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"New life : or, Songs and tunes for Sunday-schools, prayer meetings, and revival occasions","McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN; Dallas, TX",Southern Methodist Pub. House,,,1884,,,,158,15,18,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU; Emory,MTSU (OPAC),Y,Y,,,
"New life : or, Songs and tunes for Sunday-schools, prayer meetings, and revival occasions","McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN","Publishing House of the M. E. Church, South",,,1894,,,,160,15,18,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,Y,,UK,UK,,,,Y,
"New life no. 2 : songs and tunes for Sunday schools, prayer meetings and revival occasions","McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Pub. House,,,1886,,,Round note ed.,176,15,18,"Methodist (MEC,S)",Round,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,SBTS; Emory,SBTS,Y,,Y,,
"New psalms and hymns, The : published by authority of The General Assembly of the Presbyterian Church in the United States A.D. 1901",?,"Richmond, VA",Presbyterian Committee of Publication,,,1901,Y,,,499,22,,Presbyterian (PCUS),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory; SBTS,Emory,Y,,Y,,
"New psalms and hymns, The : with supplement",?,"Richmond, VA",Presbyterian Committee of Publication,,,1901,,,,563,22,,Presbyterian (PCUS),Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,Listed in both local and public catalog
"New songs of paradise : a collection of popular and religious songs for Sunday Schools, prayer-meetings, Epworth League meetings and social gatherings","Tindley, Charles Albert","Philadelphia, PA?",Paradise Pub. Co.,,,1916,Y,,1st ed.,37 nos.,23,,Methodist (MEC)?,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,Y,,Emory,Emory,Y,,,,
"New songs of paradise : a collection of popular and religious songs for Sunday Schools, prayer-meetings, Epworth League meetings and social gatherings","Tindley, Charles Albert","Philadelphia, PA",C. A. Tindley,,,1923-43,Y,,,48,23,,Methodist (MEC)?,Round,English,Sacred,?,Y?,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,Y,,Emory,Emory,Y,,,,"Probably out of time period, but more research needed to confirm"
"New Thesaurus musicus, The : or, United States collection of church music: constituting the most complete variety of new psalm and hymn tunes, sentences, anthems, chants, &c., for the use of the choir, the congregation, and the singing school ..","Everett, L. C.; Everett, A. B.","Richmond, VA",The authors,,,1862,,,,301,17,26,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y?,Y,,,,,,Emory,Emory,Y,,,,Emory copy lacking some front matter
New tunes for choirs,"Sanders, Harry","Baltimore, MD",?,,,1895,Y,,,33,15,24,Presbyterian,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y?,,,,,,,UK,UK,,,,Y,
New tunes for choirs,"Stannard, William John","Baltimore, MD",?,,,1895,Y,,,33,15,24,Presbyterian,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK,OCLC,,,,Y,
Nih̄î nihiyīn (our own songs) : a collection of Christian songs in the Navaho language,"Brink, L. P.; Boardman, R. J.","Toadlena, NM",L. P. Brink,,,1922,,,,63,20,,,Round,Navajo,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y?,,,,,,,,,Calvin University; University of New Mexico; Northern Arizona University; Heard Museum Library; University of Arizona; Willamette University; College of Saint Benedict; Yale University; Brigham young University,OCLC,,,,,
Nobody knows the trouble I see : American Negro melody,"Johnson, J. Rosamond; Powell, Maud","Boston, MA",Ditson,,,1921,,,,parts,31,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,Pennsylvania State University; Arizona State University,OCLC,,,,,
Nobody knows the trouble I've seen : spiritual des Sea Islands,"Fenner, Thomas Putman",Lille,Musiques en Flandres,,,1874,,,,2,30,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y?,,Y,,,Y,,,,Y,,,Bibliothèque nationale de France,OCLC,,,,,
Northfield hymnal no. 3,"Alexander, Charles M.; Moody, May Whittle","East Northfield, MA","Bookstore, Northfield Schools",,,1918,,,,368 nos.,20,,,Round,English,Sacred,Y,,,,,,,,,,Y,,,,,,,,,Y,,,Y?,,,,,,SBTS,SBTS,,,Y,,
Notes of triumph : for the Sunday school,"Baltzell, I.; Lorenz, Edmund S.","Dayton, OH",United Brethren Pub. House,,,1886,,,,192,16,19,Brethren,Round,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,
"Old plantation hymns : a collection of hitherto unpublished melodies of the slave and the freedman, with historical and descriptive notes","Barton, William E.","Boston, MA","Lamson, Wolffe",,,1899,,,,45,24,,,Round,English,Sacred,Y,,,,,,,,,Y,,,,,,,Y,,,Y,,,,,,Y,,,Emory,Emory,Y,,,,
One hundred Tillman's tabernacle songs,"Tillman, Charles Davis","Atlanta, GA; Cincinnati, OH; Dallas, TX; Kansas City, MO",Charlie Tillman Song Book Co.,,,1909,Y,,,approx. 100,20,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y?,,,,,,,,Emory; MTSU?,Emory,Y,Y,,,MTSU record has a lot of information supplied in brackets--copy imperfect?
"Organ or harmonium accompaniment to A. Rösler's hymnbook ""Psallite""","Bonvin, Ludwig; Gruender, Herbert; Roesler, Alexander","St. Louis, MO",B. Herder Book Co.,,,1907,,,2nd,76,23,28,Catholic (Roman rite),Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (OPAC),,Y,,,
Original American folk songs as sung by Carter's Virginian warblers,"Carter, Walter R.","Chicago, IL?",?,,,?,Y,,,32,24,,,Round,English,Sacred,Y?,Y?,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,"University of California, Los Angeles",OCLC,,,,,"This jubilee group was formed in 1893 and active till at least 1912, so probably the publication falls within date range"
"Original American folk songs as sung by the Glazier's Carolinians, the oldest jubilee organization",?,"GA?; Chicago, IL",Glazier Lyceum Bureau,,,190?,Y,,,32,24,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,Y,,,"Tabor College; Dallas Theological Seminary; Virginia Tech; Wake Forest University; Elon University; Columbia University in the City of New York; Pepperdine University Libraries; University of California, Davis",OCLC,,,,,
"Original Negro melodies, plantation & cabin songs : as sung by the Glazier Jubilee Singers, the oldest jubilee organization",?,"NC?; Chicago, IL",Glazier Circuit Co-Operative Lyceum Bureau,,,1900,Y,,,32,25,,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,Y,,,Ohio History Connection; University of South Florida,OCLC,,,,,As sung by the Glazier Jubilee Singers
Oriola : a new and complete hymn and tune book for Sabbath schools,"Bradbury, William B.","Cincinnati, OH","Moore, Wilstach, Keys & Company",,,1860,,,,266,13,17,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Emory; MTSU?,Emory,Y,Y,,,
Oriola : a new and complete hymn and tune book for Sabbath schools,"Bradbury, William B.","Cincinnati, OH","Moore, Wilstach, Keys & Co.",,,1862,,,"30th, enlarged",272,13,17,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,
Oriola : a new and complete hymn and tune book for Sabbath schools,"Bradbury, William B.","Cincinnati, OH","Moore, Wilstach & Baldwin",,,1864,,,30th,272,13,17,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,SBTS; Emory,SBTS,Y,,Y,,
Oriola : a new and complete hymn and tune book for Sabbath schools,"Bradbury, William B.","Cincinnati, OH","Moore, Wilstach & Baldwin",,,1866,,,"30th ed., enlarged",272,13,17,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Emory,Emory,Y,,,,
"Palace of song, The : a service of Scripture and song for Children's Day, or any other concert occasion in summer","Pitt, Emma","Baltimore, MD",E. Pitt Pub. Co.,,,1900,Y,,,16,23,,,Round,English,Sacred,Y,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,"Published as part of ""Emma Pitt Sunday School Music Quarterly"""
"Palm of victory, The : for the bible school","Dowling, L. H.","St. Louis, MO",L. H. Dowling,,,1874,Y,,,72,14,17,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
"Palmer's normal collection of sacred music : consisting of anthems, choruses, opening and closing pieces ... to which is added a complete metrical department, ... the whole being well adapted to the wants of choirs, conventions, musical associations, normal schools, &c.","Palmer, H. R.","Cincinnati, OH",John Church,,,1872,,,,272,17,25,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,Emory,Emory,Y,,,,
"Peninsula collection of church music, The : containing a great variety of metrical tunes, with the rudiments of music, solfeggio exercises, chants, anthems, and songs","Heginbotham, E.","Baltimore, MD",?,,J. W. Bond & Co.,1863,,,,176,17,26,,Round,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Princeton Theological Seminary; Yale University; Boston University,OCLC,,,,,
